"","Lon","Lat","Matchup_Lon_Lower","Matchup_Lon_Upper","Matchup_Lat_Lower","Matchup_Lat_Upper","Chlor_a"
"119",195.39,11.365,195.29,195.49,11.265,195.49,0.060380215342674
"120",195.63125,10.99375,195.53125,195.73125,10.89375,195.73125,0.0594535320997238
"121",195.820833333333,10.5208333333333,195.720833333333,195.920833333333,10.4208333333333,195.920833333333,0.063777282461524
"122",195.74375,9.9375,195.64375,195.84375,9.8375,195.84375,0.0589103064189355
"123",195.695833333333,9.07916666666667,195.595833333333,195.795833333333,8.97916666666667,195.795833333333,0.0564072774723172
"124",195.745,8.48,195.645,195.845,8.38,195.845,0.0519227458784978
"125",195.63125,8.125,195.53125,195.73125,8.025,195.73125,0.0581541328380505
"126",195.404166666667,7.6375,195.304166666667,195.504166666667,7.5375,195.504166666667,0.0651787934410903
"127",195.8375,6.96875,195.7375,195.9375,6.86875,195.9375,0.0939853029946486
"128",195.945,6.455,195.845,196.045,6.355,196.045,0.141829715669155
"129",195.92,5.93,195.82,196.02,5.83,196.02,0.165054288589292
"130",195.945,5.595,195.845,196.045,5.495,196.045,0.181728422641754
"131",195.929166666667,5.45416666666667,195.829166666667,196.029166666667,5.35416666666667,196.029166666667,0.183469730946753
"132",195.59375,5.35,195.49375,195.69375,5.25,195.69375,0.172698439823257
"133",195.35,5.10416666666667,195.25,195.45,5.00416666666667,195.45,0.169118663171927
"134",196.445,5.54,196.345,196.545,5.44,196.545,0.177656597975228
"135",196.485,5.28,196.385,196.585,5.18,196.585,0.167894695368078
"136",196.67,5.05,196.57,196.77,4.95,196.77,0.169323121921884
"137",197.28,5.13,197.18,197.38,5.03,197.38,0.177344222449594
"138",197.755,5.135,197.655,197.855,5.035,197.855,0.18725277731816
"139",197.855,5.25,197.755,197.955,5.15,197.955,0.190581135451794
"140",197.91,5.3,197.81,198.01,5.2,198.01,0.194517593830824
"141",198.055,5.275,197.955,198.155,5.175,198.155,0.193478973209858
"142",198.09,5.075,197.99,198.19,4.975,198.19,0.190387426565091
"143",198.045,4.755,197.945,198.145,4.655,198.145,0.174448192947441
"144",198.195,4.515,198.095,198.295,4.415,198.295,0.181362486547894
"145",198.1,4.395,198,198.2,4.295,198.2,0.184267172217369
"146",198.045,4.435,197.945,198.145,4.335,198.145,0.177476618687312
"147",197.95,4.305,197.85,198.05,4.205,198.05,0.184390511363745
"148",197.79,4.365,197.69,197.89,4.265,197.89,0.17793437714378
"149",197.85,4.44,197.75,197.95,4.34,197.95,0.173586843411128
"150",198.09,4.435,197.99,198.19,4.335,198.19,0.180709537367026
"151",198.27,4.385,198.17,198.37,4.285,198.37,0.179761582612991
"152",197.92,4.255,197.82,198.02,4.155,198.02,0.18200783059001
"153",197.775,4.195,197.675,197.875,4.095,197.875,0.184993926684062
"154",197.82,4.07,197.72,197.92,3.97,197.92,0.176907445821497
"155",197.485,4.155,197.385,197.585,4.055,197.585,0.19737617050608
"156",197.8,4.095,197.7,197.9,3.995,197.9,0.179292580319775
"157",197.87,3.975,197.77,197.97,3.875,197.97,0.172781764219205
"158",197.66,4.06,197.56,197.76,3.96,197.76,0.185069440305233
"159",197.59,4.21,197.49,197.69,4.11,197.69,0.193493025584353
"160",197.89,4.425,197.79,197.99,4.325,197.99,0.175124850538042
"161",198.075,4.685,197.975,198.175,4.585,198.175,0.172595515847206
"162",197.955,4.83,197.855,198.055,4.73,198.055,0.176426245106591
"163",197.79,4.875,197.69,197.89,4.775,197.89,0.176455940637324
"164",197.65,4.8,197.55,197.75,4.7,197.75,0.18286190678676
"165",197.825,4.68,197.725,197.925,4.58,197.925,0.171851520737012
"166",197.925,4.445,197.825,198.025,4.345,198.025,0.171858767668406
"167",198.39,4.255,198.29,198.49,4.155,198.49,0.185198020603922
"168",198.3,4.04,198.2,198.4,3.94,198.4,0.179010623859035
"169",198.11,3.805,198.01,198.21,3.705,198.21,0.168707282592853
"170",197.78,3.495,197.68,197.88,3.395,197.88,0.182521052244637
"171",197.9125,3.575,197.8125,198.0125,3.475,198.0125,0.179263553271691
"172",198,3.6875,197.9,198.1,3.5875,198.1,0.176685827970505
"173",198.0875,3.825,197.9875,198.1875,3.725,198.1875,0.176161869118611
"174",198.160714285714,4,198.060714285714,198.260714285714,3.9,198.260714285714,0.175159996168481
"175",198.083333333333,4.17916666666667,197.983333333333,198.183333333333,4.07916666666667,198.183333333333,0.174958036591609
"176",198.075,4.32,197.975,198.175,4.22,198.175,0.17589869391587
"177",198.245,4.535,198.145,198.345,4.435,198.345,0.172689154744148
