"","Lon","Lat","Matchup_Lon_Lower","Matchup_Lon_Upper","Matchup_Lat_Lower","Matchup_Lat_Upper","Chlor_a"
"173",200.05,10.825,199.95,200.15,10.725,200.15,0.0844768355999674
"174",199.825,10.925,199.725,199.925,10.825,199.925,0.082767684219612
"175",199.775,10.95,199.675,199.875,10.85,199.875,0.0823062804838022
"176",199.65,11.025,199.55,199.75,10.925,199.75,0.0809297189116478
"177",199.475,11.1,199.375,199.575,11,199.575,0.0803352201150523
"178",199.375,11.1,199.275,199.475,11,199.475,0.0804058911485804
"179",199.25,11.2,199.15,199.35,11.1,199.35,0.0807287661979596
"180",199.175,11.275,199.075,199.275,11.175,199.275,0.0793136820197105
"181",199.175,11.275,199.075,199.275,11.175,199.275,0.0793136820197105
"182",199.125,11.35,199.025,199.225,11.25,199.225,0.0801539377619823
"183",199,11.5,198.9,199.1,11.4,199.1,0.0790473789804512
"184",198.9,11.625,198.8,199,11.525,199,0.0763398356735706
"185",198.875,11.675,198.775,198.975,11.575,198.975,0.0760268941521645
"186",198.85,11.725,198.75,198.95,11.625,198.95,0.0745604410767555
"187",198.85,11.725,198.75,198.95,11.625,198.95,0.0745604410767555
"188",198.825,11.8,198.725,198.925,11.7,198.925,0.0725884342359172
"189",198.7,11.925,198.6,198.8,11.825,198.8,0.0693019158724281
"190",198.575,12.1,198.475,198.675,12,198.675,0.0662320943342315
"191",198.45,12.3,198.35,198.55,12.2,198.55,0.0631713578477502
"192",198.4,12.35,198.3,198.5,12.25,198.5,0.0634562483678261
"193",198.35,12.45,198.25,198.45,12.35,198.45,0.0611167285177443
"194",198.35,12.475,198.25,198.45,12.375,198.45,0.0611167285177443
"195",198.325,12.475,198.225,198.425,12.375,198.425,0.0611167285177443
"196",198.25,12.575,198.15,198.35,12.475,198.35,0.061581767992013
"197",198.2,12.625,198.1,198.3,12.525,198.3,0.0624150386494067
"198",198.275,12.625,198.175,198.375,12.525,198.375,0.0614644683897495
"199",198.275,12.625,198.175,198.375,12.525,198.375,0.0614644683897495
"200",198.3,12.625,198.2,198.4,12.525,198.4,0.0620501581579447
"201",198.325,12.65,198.225,198.425,12.55,198.425,0.06321222273012
"202",198.325,12.65,198.225,198.425,12.55,198.425,0.06321222273012
"203",198.35,12.625,198.25,198.45,12.525,198.45,0.0627768610914548
"204",198.35,12.625,198.25,198.45,12.525,198.45,0.0627768610914548
"205",198.35,12.625,198.25,198.45,12.525,198.45,0.0627768610914548
"206",198.325,12.6,198.225,198.425,12.5,198.425,0.0620772333608733
"207",198.225,12.55,198.125,198.325,12.45,198.325,0.0622669923015767
"208",198.225,12.55,198.125,198.325,12.45,198.325,0.0622669923015767
"209",198.2,12.55,198.1,198.3,12.45,198.3,0.0622669923015767
